ISBN10,ISBN13,Title,Author,Cover,Publisher,Pages,,
195153448,9.7802E+12,Classical Mythology,Mark P. O. Morford,,,,,
2005018,9.78E+12,Clara Callan: A Novel,Richard Bruce Wright,http://www.openisbn.com/cover/0002005018_72.jpg,HarperFlamingoCanada,414,,
60973129,9.78006E+12,Decision In Normandy,Carlo D'Este,http://www.openisbn.com/cover/0060973129_72.jpg,HarperPerennial,555,,
374157065,9.78037E+12,Flu: The Story Of The Great Influenza Pandemic Of 1918 And The Search For The Virus That Caused It,Gina Kolata,http://www.openisbn.com/cover/0374157065_72.jpg,Farrar,,,
393045218,9.78039E+12,The Mummies Of Urumchi,Elizabeth Wayland Barber,,,,,
399135782,9.7804E+12,The Kitchen God's Wife,Amy Tan,http://www.openisbn.com/cover/0399135782_72.jpg,G. P. Putnam's Sons,415,,
425176428,9.78043E+12,What If?: The World's Foremost Military Historians Imagine What Might Have Been,Robert Cowley,http://www.openisbn.com/cover/0425176428_72.jpg,Berkley Trade,416,,
671870432,9.78067E+12,Pleading Guilty,Scott Turow,,,,,
679425608,9.78068E+12,Under The Black Flag: The Romance And The Reality Of Life Among The Pirates,David Cordingly,http://www.openisbn.com/cover/0679425608_72.jpg,Random House,296,,
074322678X,9.78074E+12,Where You'll Find Me: And Other Stories,Ann Beattie,http://www.openisbn.com/cover/074322678X_72.jpg,Scribner,208,,
771074670,9.78077E+12,Nights Below Station Street,David Adams Richards,http://www.openisbn.com/cover/0771074670_72.jpg,Emblem Editions,225,,
080652121X,9.78081E+12,Hitler's Secret Bankers: The Myth Of Swiss Neutrality During The Holocau: The Myth Of Swiss Neutrality During The Holocaust,Kensington,http://www.openisbn.com/cover/080652121X_72.jpg,Citadel,293,,
887841740,9.78089E+12,The Middle Stories,Sheila Heti,http://www.openisbn.com/cover/0887841740_72.jpg,House Of Anansi Press,160,,
1552041778,9.78155E+12,Jane Doe,J. R. Kaiser,http://www.openisbn.com/cover/1552041778_72.jpg,Mira Books,0,,
1558746218,9.78156E+12,A Second Chicken Soup For The Woman's Soul (Chicken Soup For The Soul),Jack Canfield,,,,,
1567407781,9.78157E+12,The Witchfinder (Amos Walker Series),Loren D. Estleman,,,,,
1575663937,9.78158E+12,More Cunning Than Man: A Social History Of Rats And Man,Robert Hendrickson,http://www.openisbn.com/cover/1575663937_72.jpg,Kensington,288,,
1881320189,9.78188E+12,Goodbye To The Buttermilk Sky,Julia Oliver,http://www.openisbn.com/cover/1881320189_72.jpg,River City Pub,191,,
440234743,9.78044E+12,The Testament,John Grisham,http://www.openisbn.com/cover/0440234743_72.jpg,Dell,544,,
452264464,9.78045E+12,Beloved (Plume Contemporary Fiction),Toni Morrison,http://www.openisbn.com/cover/0452264464_72.jpg,Longman,275,,
609804618,9.78061E+12,Our Dumb Century: The Onion Presents 100 Years Of Headlines From America's Finest News Source,The Onion,,,,,
1841721522,9.78184E+12,New Vegetarian: Bold And Beautiful Recipes For Every Occasion,Celia Brooks Brown,,,,,
1879384493,9.78188E+12,If I'd Known Then What I Know Now: Why Not Learn From The Mistakes Of Others? You Can't Afford To Make Them All Yourself!,J. R. Parrish,http://www.openisbn.com/cover/1879384493_72.jpg,Cypress House,136,,
61076031,9.78006E+12,Mary-Kate &amp; Ashley Switching Goals (Mary-Kate &amp; Ashley Starring In),Mary-kate &amp; Ashley Olsen,http://www.openisbn.com/cover/0061076031_72.jpg,HarperEntertainment,128,,
439095026,9.78044E+12,Tell Me This Isn't Happening,Robynn Clairday,http://www.openisbn.com/cover/0439095026_72.jpg,Scholastic,144,,
689821166,9.78069E+12,Flood : Mississippi 1927,Kathleen Duey,,,,,
971880107,9.78097E+12,Wild Animus: A Novel,Rich Shapero,http://www.openisbn.com/cover/0971880107_72.jpg,Too Far Pub,315,,
345402871,9.78035E+12,Airframe,Michael Crichton,http://www.openisbn.com/cover/0345402871_72.jpg,Ballantine Books,448,,
345417623,9.78035E+12,Timeline,Michael Crichton,http://www.openisbn.com/cover/0345417623_72.jpg,Ballantine Books,512,,
684823802,9.78068E+12,Out Of The Silent Planet,C.S. Lewis,http://www.openisbn.com/cover/0684823802_72.jpg,Scribner,160,,
375759778,9.78038E+12,Prague: A Novel,Arthur Phillips,http://www.openisbn.com/cover/0375759778_72.jpg,Random House Trade Paperbacks,400,,
425163091,9.78043E+12,Chocolate Jesus,Stephen Jaramillo,http://www.openisbn.com/cover/0425163091_72.jpg,Berkley Trade,249,,
3404921038,9.7834E+12,Wie Barney Es Sieht. Roman,Mordecai Richler,,,,,
3442353866,9.78344E+12,Der Fluch Der Kaiserin,Eleanor Cooney,,,,,
3442410665,9.78344E+12,Die Sturmzeit-Trilogie: Sturmzeit: Roman: BD 1,Charlotte Link,http://www.openisbn.com/cover/3442410665_72.jpg,Goldmann Verlag,544,,
3442446937,9.78344E+12,Tage Der Unschuld,Richard North Patterson,,,,,
375406328,9.78038E+12,Lying Awake,Mark Salzman,http://www.openisbn.com/cover/0375406328_72.jpg,Alfred A. Knopf,181,,
446310786,9.78045E+12,To Kill A Mockingbird,Harper Lee,http://www.openisbn.com/cover/0446310786_72.jpg,Grand Central Publishing,281,,
449005615,9.78045E+12,Seabiscuit: An American Legend,Laura Hillenbrand,http://www.openisbn.com/cover/0449005615_72.jpg,Ballantine Books,399,,
60168013,9.78006E+12,Pigs In Heaven,Barbara Kingsolver,http://www.openisbn.com/cover/0060168013_72.jpg,HarperCollins Publishers,288,,
038078243X,9.78038E+12,Miss Zukas And The Raven's Dance (Miss Zukas Mysteries),Jo Dereske,http://www.openisbn.com/cover/038078243X_72.jpg,Avon,256,,
055321215X,9.78055E+12,Pride And Prejudice,Jane Austen,http://www.openisbn.com/cover/055321215X_72.jpg,Bantam Classics,0,,
067176537X,9.78067E+12,The Therapeutic Touch: How To Use Your Hands To Help Or To Heal,Dolores Krieger,http://www.openisbn.com/cover/067176537X_72.jpg,Touchstone,168,,
61099686,9.78006E+12,Downtown,Anne Rivers Siddons,http://www.openisbn.com/cover/0061099686_72.jpg,HarperTorch,512,,
553582909,9.78055E+12,Icebound,Dean Koontz,http://www.openisbn.com/cover/0553582909_72.jpg,Bantam,416,,
671888587,9.78067E+12,I'll Be Seeing You,Mary Higgins Clark,http://www.openisbn.com/cover/0671888587_72.jpg,Pocket Books,320,,
